use_case ,type ,method ,other_minutes_sold,scenario ,missions,minutes ,cost_usd_S1,cost_usd_S2,cost_usd_S3,cost_usd_S4,cost_usd_S5,cost_usd_S6
Human Space Flight,ADD,DTE,No,Current,4,231720.0,26075451.6,48021652.800000004,48021652.800000004,48021652.800000004,48021652.800000004,48021652.800000004
Human Space Flight,ADD,DTE,Yes,Current,4,231720.0,9609428.4,9609428.4,9609428.4,9609428.4,9609428.4,9609428.4
Near Earth Robotic - LEO Science,ADD,DTE,No,Current,34,329715.0,37102828.95,68330136.60000001,68330136.60000001,68330136.60000001,68330136.60000001,68330136.60000001
Near Earth Robotic - LEO Science,ADD,DTE,Yes,Current,34,329715.0,13673281.050000003,13673281.050000003,13673281.050000003,13673281.050000003,13673281.050000003,13673281.050000003
Near Earth Robotic - GEO and Near Earth,ADD,DTE,No,Current,11,169757.5,19102811.475,35180544.300000004,35180544.300000004,35180544.300000004,35180544.300000004,35180544.300000004
Near Earth Robotic - GEO and Near Earth,ADD,DTE,Yes,Current,11,169757.5,7039843.525000001,7039843.525000001,7039843.525000001,7039843.525000001,7039843.525000001,7039843.525000001
Deep Space Robotic,ADD,DTE,No,Current,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep Space Robotic,ADD,DTE,Yes,Current,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Near Earth Robotic - Low Latency & Complex Needs,ADD,DTE,No,Current,1,11281.0,1269450.9300000002,2337874.44,2337874.44,2337874.44,2337874.44,2337874.44
Near Earth Robotic - Low Latency & Complex Needs,ADD,DTE,Yes,Current,1,11281.0,467823.07000000007,467823.07000000007,467823.07000000007,467823.07000000007,467823.07000000007,467823.07000000007
Mission Operations,ADD,DTE,No,Current,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mission Operations,ADD,DTE,Yes,Current,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrestrial & Aerial,ADD,DTE,No,Current,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrestrial & Aerial,ADD,DTE,Yes,Current,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human Space Flight,ADD,SR,No,Current,14,1246308.0,80885389.2,90481960.80000001,90481960.80000001,90481960.80000001,86369144.4,93223838.4
Human Space Flight,ADD,SR,Yes,Current,14,1246308.0,43870041.6,53466613.2,53466613.2,53466613.2,50724735.6,57579429.6
Near Earth Robotic - LEO Science,ADD,SR,No,Current,29,2200085.0,142785516.5,159726171.0,159726171.0,159726171.0,152465890.5,164566358.0
Near Earth Robotic - LEO Science,ADD,SR,Yes,Current,29,2200085.0,77442992.0,94383646.50000001,94383646.50000001,94383646.50000001,89543459.5,101643927.00000001
Near Earth Robotic - GEO and Near Earth,ADD,SR,No,Current,4,218.0,14148.2,15826.800000000001,15826.800000000001,15826.800000000001,15107.400000000001,16306.400000000001
Near Earth Robotic - GEO and Near Earth,ADD,SR,Yes,Current,4,218.0,7673.6,9352.2,9352.2,9352.2,8872.6,10071.6
Deep Space Robotic,ADD,SR,No,Current,1,286.0,18561.4,20763.600000000002,20763.600000000002,20763.600000000002,19819.800000000003,21392.800000000003
Deep Space Robotic,ADD,SR,Yes,Current,1,286.0,10067.2,12269.400000000001,12269.400000000001,12269.400000000001,11640.2,13213.2
Near Earth Robotic - Low Latency & Complex Needs,ADD,SR,No,Current,2,4094.0,265700.60000000003,297224.4,297224.4,297224.4,283714.2,306231.2
Near Earth Robotic - Low Latency & Complex Needs,ADD,SR,Yes,Current,2,4094.0,144108.80000000002,175632.6,175632.6,175632.6,166625.80000000002,189142.80000000002
Mission Operations,ADD,SR,No,Current,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
