"","use_case","type","method","scenario","missions","minutes","scenario_cost","value","combined"
"1","Human Space Flight","ADD","DTE","Current",4,231720,"cost_usd_S1",26075451.6,"DTE Current"
"2","Near Earth Robotic
LEO Science","ADD","DTE","Current",34,329715,"cost_usd_S1",37102828.95,"DTE Current"
"3","Near Earth Robotic
GEO and Near Earth","ADD","DTE","Current",11,169757.5,"cost_usd_S1",19102811.475,"DTE Current"
"4","Near Earth Robotic
Low Latency & Complex Needs","ADD","DTE","Current",1,11281,"cost_usd_S1",1269450.93,"DTE Current"
"5","Terrestrial & Aerial","ADD","DTE","Current",0,0,"cost_usd_S1",0,"DTE Current"
"6","Human Space Flight","ADD","SR","Current",14,1246308,"cost_usd_S1",80885389.2,"SR Current"
"7","Near Earth Robotic
LEO Science","ADD","SR","Current",29,2200085,"cost_usd_S1",142785516.5,"SR Current"
"8","Near Earth Robotic
GEO and Near Earth","ADD","SR","Current",4,218,"cost_usd_S1",14148.2,"SR Current"
"9","Near Earth Robotic
Low Latency & Complex Needs","ADD","SR","Current",2,4094,"cost_usd_S1",265700.6,"SR Current"
"10","Terrestrial & Aerial","ADD","SR","Current",15,130080,"cost_usd_S1",8442192,"SR Current"
"11","Human Space Flight","FDDN","DTE","Current",4,231720,"cost_usd_S1",26075451.6,"DTE Current"
"12","Near Earth Robotic
LEO Science","FDDN","DTE","Current",34,329715,"cost_usd_S1",37102828.95,"DTE Current"
"13","Near Earth Robotic
GEO and Near Earth","FDDN","DTE","Current",11,169757.5,"cost_usd_S1",19102811.475,"DTE Current"
"14","Near Earth Robotic
Low Latency & Complex Needs","FDDN","DTE","Current",1,11281,"cost_usd_S1",1269450.93,"DTE Current"
"15","Terrestrial & Aerial","FDDN","DTE","Current",0,0,"cost_usd_S1",0,"DTE Current"
"16","Human Space Flight","FDDN","SR","Current",14,1246308,"cost_usd_S1",80885389.2,"SR Current"
"17","Near Earth Robotic
LEO Science","FDDN","SR","Current",29,2200085,"cost_usd_S1",142785516.5,"SR Current"
"18","Near Earth Robotic
GEO and Near Earth","FDDN","SR","Current",4,218,"cost_usd_S1",14148.2,"SR Current"
"19","Near Earth Robotic
Low Latency & Complex Needs","FDDN","SR","Current",2,4094,"cost_usd_S1",265700.6,"SR Current"
"20","Terrestrial & Aerial","FDDN","SR","Current",15,130080,"cost_usd_S1",8442192,"SR Current"
"21","Human Space Flight","ADD","DTE","Low",2,115860,"cost_usd_S1",24010826.4,"DTE Low"
"22","Near Earth Robotic
LEO Science","ADD","DTE","Low",18,174555,"cost_usd_S1",36174778.2,"DTE Low"
"23","Near Earth Robotic
GEO and Near Earth","ADD","DTE","Low",6,92595,"cost_usd_S1",19189387.8,"DTE Low"
"24","Near Earth Robotic
Low Latency & Complex Needs","ADD","DTE","Low",1,11281,"cost_usd_S1",2337874.44,"DTE Low"
"25","Terrestrial & Aerial","ADD","DTE","Low",0,0,"cost_usd_S1",0,"DTE Low"
"26","Human Space Flight","ADD","SR","Low",5,445110,"cost_usd_S1",28887639,"SR Low"
"27","Near Earth Robotic
LEO Science","ADD","SR","Low",10,758650,"cost_usd_S1",49236385,"SR Low"
"28","Near Earth Robotic
GEO and Near Earth","ADD","SR","Low",1,54.5,"cost_usd_S1",3537.05,"SR Low"
